id,gender,age,education,profession,workDuration,typeSocial,useSocial,productivity,socialDuration
1,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,6
2,male,27,degree,officer,5 years,"facebook,youtube,tiktok,snapchat",regulary,no,7
3,female,24,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,4
4,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,8
5,male,27,degree,officer,5 years,"facebook,youtube,tiktok,snapchat",regulary,no,6
6,female,28,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,2
7,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,4
8,male,43,degree,lectural,5 years,"facebook,youtube,tiktok",regulary,no,3
9,female,21,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,8
10,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,5
11,male,27,degree,officer,5 years,"facebook,youtube,tiktok,snapchat",regulary,no,6
12,female,32,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,4
13,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,8
14,male,27,degree,officer,5 years,"facebook,youtube,tiktok,snapchat",regulary,no,6
15,female,21,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,yes,2
16,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,4
17,male,27,degree,officer,7 years,"facebook,youtube,tiktok,snapchat",regulary,no,3
18,female,21,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,8
19,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,5
20,male,27,degree,officer,5 years,"facebook,youtube,tiktok,snapchat",regulary,yes,6
21,female,21,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,yes,4
22,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,8
23,male,27,degree,officer,5 years,"facebook,youtube,tiktok,snapchat",regulary,no,6
24,female,45,master,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,2
25,female,21,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,4
26,male,47,degree,officer,9 years,"facebook,youtube,tiktok,snapchat",regulary,no,3
27,female,21,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,8
28,female,29,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,5
29,male,36,degree,manager,5 years,"facebook,youtube,tiktok,snapchat",regulary,no,6
30,female,21,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,4
31,female,34,master,officer,7 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,6
32,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,2
33,male,29,degree,officer,5 years,"facebook,youtube,tiktok,snapchat",regulary,no,4
34,female,21,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,3
35,female,27,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,8
36,male,35,master,manager,8 years,"facebook,twitter,youtube",often,yes,5
37,male,26,degree,officer,5 years,"facebook,youtube,tiktok,snapchat",regulary,no,6
38,female,18,degree,officer,3 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,4
39,female,25,degree,officer,4 years,"facebook,twitter,linkedin,tiktok,snapchat,youtube,instagram,pinterest",everytime,no,8
